coszen,rho,rds,dust,algae,BBA
0.3,500,1000,15000000,100000,0.4296312024
0.3,500,1000,15000000,1000000,0.3605940657
0.3,500,1000,15000000,15000000,0.2347657514
0.3,500,1000,15000000,20000000,0.2270379541
0.3,500,1000,20000000,0,0.4073854557
0.3,500,1000,20000000,10000,0.4062821127
0.3,500,1000,20000000,50000,0.4020127999
0.3,500,1000,20000000,100000,0.396976931
0.3,500,1000,20000000,1000000,0.3395959529
0.3,500,1000,20000000,15000000,0.2268488678
0.3,500,1000,20000000,20000000,0.2194001355
0.3,500,1500,0,0,0.5914613453
0.3,500,1500,0,10000,0.588189128
0.3,500,1500,0,50000,0.5758879551
0.3,500,1500,0,100000,0.5620423766
0.3,500,1500,0,1000000,0.4329607062
0.3,500,1500,0,15000000,0.2531069759
0.3,500,1500,0,20000000,0.2450903643
0.3,500,1500,10000,0,0.591265308
0.3,500,1500,10000,10000,0.5879955966
0.3,500,1500,10000,50000,0.5757034524
0.3,500,1500,10000,100000,0.5618673384
0.3,500,1500,10000,1000000,0.4328526166
0.3,500,1500,10000,15000000,0.2530644546
0.3,500,1500,10000,20000000,0.2450494233
0.3,500,1500,50000,0,0.5904826977
0.3,500,1500,50000,10000,0.5872229776
0.3,500,1500,50000,50000,0.5749668379
0.3,500,1500,50000,100000,0.5611684778
0.3,500,1500,50000,1000000,0.4324210559
0.3,500,1500,50000,15000000,0.2528947572
0.3,500,1500,50000,20000000,0.2448860331
0.3,500,1500,100000,0,0.5895078823
0.3,500,1500,100000,10000,0.5862605792
0.3,500,1500,100000,50000,0.5740491995
0.3,500,1500,100000,100000,0.5602977989
0.3,500,1500,100000,1000000,0.4318833926
0.3,500,1500,100000,15000000,0.2526835038
0.3,500,1500,100000,20000000,0.2446826324
0.3,500,1500,1000000,0,0.572590051
0.3,500,1500,1000000,10000,0.5695534557
0.3,500,1500,1000000,50000,0.558103989
0.3,500,1500,1000000,100000,0.5451561402
0.3,500,1500,1000000,1000000,0.4225325903
0.3,500,1500,1000000,15000000,0.2490376489
0.3,500,1500,1000000,20000000,0.2411724077
0.3,500,1500,15000000,0,0.4087721497
0.3,500,1500,15000000,10000,0.4074346268
0.3,500,1500,15000000,50000,0.402284173
0.3,500,1500,15000000,100000,0.3962583137
0.3,500,1500,15000000,1000000,0.3306699301
0.3,500,1500,15000000,15000000,0.2159594345
0.3,500,1500,15000000,20000000,0.209301408
0.3,500,1500,20000000,0,0.3772621223
0.3,500,1500,20000000,10000,0.3762018866
0.3,500,1500,20000000,50000,0.372103505
0.3,500,1500,20000000,100000,0.36727779
0.3,500,1500,20000000,1000000,0.312947599
0.3,500,1500,20000000,15000000,0.2104409623
0.3,500,1500,20000000,20000000,0.2039793724
0.3,600,200,0,0,0.810989397
0.3,600,200,0,10000,0.8109893969
0.3,600,200,0,50000,0.8109893967
0.3,600,200,0,100000,0.8109893964
0.3,600,200,0,1000000,0.8109893905
0.3,600,200,0,15000000,0.8109892997
0.3,600,200,0,20000000,0.8109892672
0.3,600,200,10000,0,0.810989397
0.3,600,200,10000,10000,0.8109893969
0.3,600,200,10000,50000,0.8109893967
0.3,600,200,10000,100000,0.8109893963
0.3,600,200,10000,1000000,0.8109893905
0.3,600,200,10000,15000000,0.8109892996
0.3,600,200,10000,20000000,0.8109892672
0.3,600,200,50000,0,0.810989397
0.3,600,200,50000,10000,0.8109893969
0.3,600,200,50000,50000,0.8109893967
0.3,600,200,50000,100000,0.8109893963
0.3,600,200,50000,1000000,0.8109893905
0.3,600,200,50000,15000000,0.8109892996
0.3,600,200,50000,20000000,0.8109892672
0.3,600,200,100000,0,0.810989397
0.3,600,200,100000,10000,0.8109893969
0.3,600,200,100000,50000,0.8109893967
0.3,600,200,100000,100000,0.8109893963
0.3,600,200,100000,1000000,0.8109893905
0.3,600,200,100000,15000000,0.8109892996
0.3,600,200,100000,20000000,0.8109892672
0.3,600,200,1000000,0,0.8109893968
0.3,600,200,1000000,10000,0.8109893968
0.3,600,200,1000000,50000,0.8109893965
0.3,600,200,1000000,100000,0.8109893962
0.3,600,200,1000000,1000000,0.8109893903
0.3,600,200,1000000,15000000,0.8109892995
0.3,600,200,1000000,20000000,0.810989267
0.3,600,200,15000000,0,0.8109893942
0.3,600,200,15000000,10000,0.8109893942
0.3,600,200,15000000,50000,0.8109893939
0.3,600,200,15000000,100000,0.8109893936
0.3,600,200,15000000,1000000,0.8109893878
0.3,600,200,15000000,15000000,0.8109892969
0.3,600,200,15000000,20000000,0.8109892645
0.3,600,200,20000000,0,0.8109893933
0.3,600,200,20000000,10000,0.8109893933
0.3,600,200,20000000,50000,0.810989393
0.3,600,200,20000000,100000,0.8109893927
0.3,600,200,20000000,1000000,0.8109893868
0.3,600,200,20000000,15000000,0.810989296
0.3,600,200,20000000,20000000,0.8109892635
0.3,600,300,0,0,0.7931022056
